"","x","y","Jarak_Lampu","n_Lajur","n_Jalur","Kerb_R","Kerb_L","label","vol"
"1",62144.4593232169,-83920.4838322813,61.390340297076,2,2,0,0,1,2.34709992038719
"2",61281.6674757049,-85470.6720394906,129.935480875666,2,2,0,0,1,0.868330889358353
"3",61189.4749951198,-84528.6335958475,70.9631743520905,2,2,0,0,1,1.82665027365161
"4",59578.3099596878,-83767.8468551167,0.448531356277833,2,2,1,1,1,1.06234239286998
"5",59846.341504884,-83939.5471253801,0.261184277944156,4,2,0,0,1,2.58890003553249
"6",59913.1227527654,-84183.2528762054,27.6938079605547,2,2,0,0,1,4.08328979067732
"7",61777.9676953268,-84097.620802863,28.1028461679217,4,2,0,0,1,1.12476777182345
"8",59691.2575084919,-83837.8112296359,0.278415868783631,4,2,0,0,1,0.576141401217193
"9",59831.4634972319,-83914.1526969018,2.80104019509542,4,2,0,0,1,0.716853458292376
"10",61189.0666358262,-84530.4368078894,72.8120472468387,2,2,0,0,1,1.82665027365161
"11",61251.0290859317,-85112.3522331198,98.0680784243002,2,2,0,0,1,2.07045970631315
"12",60270.9065943137,-84128.072697019,80.6612427458743,1,2,0,0,1,0.997852690214113
"13",59189.7125444811,-84854.7835623926,121.510171952058,2,2,0,0,1,0.337926190022031
"14",62086.9087045227,-84037.0046632173,4.19872669325459,4,2,0,0,1,1.27540882991468
"15",59815.8357884183,-83920.1189501753,7.21616163843679,2,2,0,0,1,8.27238284612511
"16",61833.4320826347,-83817.7784395909,143.131063905496,2,2,0,0,1,1.30184620250094
"17",59924.5175729138,-84072.8645553241,23.1128592982816,2,2,0,0,1,3.58271237692278
"18",59161.2429093876,-84860.2781769886,150.506760732413,2,2,0,0,1,3.81324310556443
"19",59979.1499001841,-83969.9052869127,43.0672568498932,1,2,0,0,1,1.44881670067661
"20",59995.6053135074,-83986.7589341468,45.6112896694126,1,2,0,0,1,1.49830782810019
"21",62178.3296897276,-84036.8105396682,0.681347407869454,4,2,1,0,1,0.20789726221999
"22",61271.0380551898,-84061.6424359835,1.41394219435939,4,2,0,0,1,0.237406046717168
"23",61288.3631332983,-85306.9766410156,39.3318058969404,2,2,0,0,1,2.99236419178323
"24",59883.8782216844,-84742.2726890862,224.017219062245,2,2,0,0,1,0.323426900259172
"25",59900.6220996799,-84177.591897877,43.5424882882347,1,2,0,0,1,1.98784564542722
"26",61202.5177897456,-84857.9778203836,85.4950936569176,2,2,0,0,1,2.37657759631938
"27",61019.3360435636,-84081.1709387854,0.0955462299009802,4,2,0,0,1,0.217282767973361
"28",60541.9341606009,-84053.3607883716,131.189513201325,4,2,0,0,1,3.37171304237341
"29",61194.0518003466,-84508.5954873775,50.4089789720608,2,2,0,0,1,1.17409224607808
"30",60304.8008641666,-84423.4502930419,215.640183766072,2,2,0,0,1,1.40296165229332
"31",62169.5269480444,-84059.2636275325,24.9423307747906,2,2,0,0,1,1.74536982445819
"32",61181.5319351227,-84562.2486169826,105.516851112682,2,2,0,0,1,1.62740840035298
"33",61771.5003505496,-84524.001205615,435.955513518153,2,2,0,0,1,0.45919007931182
"34",61278.4749011263,-85254.3717055009,92.8651863604398,2,2,0,0,1,2.57433744094589
"35",61383.1526207836,-84053.1852629214,103.943061771001,4,2,0,0,1,1.65369614192891
"36",60737.4833065992,-84608.2432360584,213.33252904813,2,2,0,0,1,2.19802461837578
"37",62087.6062039503,-84036.8420259987,3.4825170058201,4,2,0,0,1,1.27540882991468
"38",60071.8811193188,-84033.471408251,19.7413790391129,2,2,0,0,1,1.06833551565242
"39",59909.7312406337,-83996.9812854955,27.0121329609017,4,2,0,0,1,2.90596074363116
"40",62255.3996850692,-83804.8901527732,118.567757566981,2,2,0,0,1,0.808816839400963
"41",61309.5390444772,-84058.3723745865,40.0688237568224,4,2,0,0,1,1.01896066941619
"42",60151.0913490938,-84024.5365744571,64.4749082457239,4,2,0,0,1,1.69918580521516
"43",61272.2536595261,-83317.1650499437,163.633918247871,2,2,0,0,1,3.00966695718419
"44",59623.9587509005,-83582.0842275108,336.183002599805,2,2,0,0,1,4.63470196801567
"45",60103.2955281877,-84869.1789502053,5.47034386048716,2,2,0,0,1,1.16899590488885
"46",62026.997376958,-83881.3916344728,62.6954708088475,2,2,0,0,1,0.699087181414086
"47",61018.2796967669,-84081.8448030595,1.3133528966034,4,2,0,0,1,0.140775375776207
"49",59576.1961262496,-84691.8068956729,22.6960146865689,2,2,0,0,1,1.47760105284566
"50",60639.1597454299,-84061.8806072939,228.896904293134,2,2,0,0,1,1.19754115363603
"51",60312.2885910082,-84037.2557870126,38.7030946578532,4,2,0,0,1,1.20519706950529
"52",60666.9214460493,-84064.0490340475,256.758694283604,2,2,0,0,1,3.32786699323861
"53",61269.8133425551,-84061.6942630026,0.188133450100419,4,2,0,0,1,0.237406046717168
"54",61166.0881912893,-84630.0138105638,83.7531196509133,2,2,0,0,1,1.85503321886462
"55",59768.3677494136,-83234.3514778624,418.278472742985,2,2,0,0,1,0.626166133065767
"56",60140.9388813394,-84162.5654264268,54.7306598652856,2,2,0,0,1,3.06146474073538
"57",61243.2734687146,-85070.2466717813,55.2406675924353,1,2,0,0,1,2.66586302572588
"58",60207.7106850856,-85137.0684934681,219.665754053517,2,2,0,0,1,0.698099786604811
"59",62221.0176205145,-83503.2974722423,79.4402547387603,2,2,0,0,1,1.01313148663116
"60",60735.4928748473,-84609.9731373896,210.695413735034,2,2,0,0,1,2.19802461837578
"61",59667.1617829983,-84645.6549230782,84.1661638882732,2,2,0,0,1,0.766667533862835
"62",59705.7952358388,-83848.2793223058,18.4054308811534,4,2,0,0,1,3.04194540769716
"63",62048.3616478745,-83199.0340533645,217.066137221798,2,2,0,0,1,1.51725729004071
"64",61175.6644189484,-84588.5212665396,126.338603410433,2,2,0,0,1,0.849708571833708
"65",59874.0869906215,-84548.7396363358,21.929937418609,2,1,0,0,1,2.92612647213453
"66",59605.8753741233,-83785.4174019484,32.2545576469338,2,2,1,1,1,0.614520854476665
"67",59902.7267250536,-84559.8113181848,15.0263026033066,4,2,0,1,1,0.127560340058952
"68",59831.4592292727,-83914.1996677777,2.75387581589074,4,2,0,0,1,0.753668376814628
"69",61565.5913841497,-85058.1573812261,1.39716047760718,2,2,0,0,1,6.60386744294557
"70",61907.1349559753,-84078.8385040264,160.046822052805,4,2,0,0,1,1.97341461376067
"71",60592.3645659919,-84786.961955167,212.23935148568,2,2,0,0,1,3.25136231482267
"72",61779.24617463,-84097.8749114738,29.4075789239485,4,2,0,0,1,1.29467071796101
"73",59919.3408106398,-84143.3562904741,5.53605893778531,2,1,0,0,1,1.48440287749116
"74",60740.1688601458,-84069.0535299577,280.189929349524,4,2,0,0,1,3.09994443291752
"75",59683.1099726494,-85388.7520032998,930.166772078578,2,2,0,0,1,2.24998075350729
"76",59606.4562777333,-83785.82196887,32.9624583449215,2,2,1,1,1,0.614520854476665
"77",61362.8384419224,-84309.5753789404,42.9657697313529,2,2,0,0,1,1.56091438770915
"78",61194.3370028042,-84507.3802866417,49.1607589313203,2,2,0,0,1,1.17409224607808
"79",59908.9723241153,-84587.2093176762,23.4483921864684,2,2,0,0,1,4.35644680949415
"80",61181.2015639063,-84563.7203360727,107.025195311038,2,2,0,0,1,1.62740840035298
"81",61187.7736796277,-84536.1508810338,78.6705767494417,2,2,0,0,1,1.05952964323014
"82",61757.5824631334,-84094.64826011,7.49809558199943,4,2,0,0,1,2.72984135528928
"83",59975.797239119,-84293.2700432511,68.0936139192038,2,2,0,0,1,2.14704407999754
"84",60099.2533606973,-84019.2263912772,14.6751193022193,4,2,0,0,1,0.599276656363482
"85",59903.6600664479,-83203.0309909813,241.215262491602,2,2,0,0,1,2.83666069236787
